	心里知道就行了，心里默念。
	就行了。
	就是看得出。
	是哪个看得出是哪个，就心里默念，默念就行了。从这开始来一波人对吧？
	然后在这。
	位置横盘，但是你看是不是还在买呢，是不是还在买呢？
	但是我提醒一下，就是这个结构不能破，这个结构不能破，这最低点在这儿要设止损了。就这个位置，我看一下它最低价是多少。最低价205.54块205.54块，那你就设一个205的止损价，这是最后的止损价了。走了这图形破了走错也要走，为什么？如果他运作成这样的话，后面很有可能。
	就是把大。
	的就是大的。但是咱再说一遍，这种图形也经常有走失败的。比如当年我记得我的图形切不过去了，比如当年的小赵就走走失败了。所以说我说一定要设止损，明白吗？千万别说，那哥说了，这图形完美，我的交易纪律是越完美越要干干因为什么？干错也要干，但是不是让你死扛，明白吧？
	记住205，如果这他妈真破了，那有可能人家重新再玩一个，你都懂我意思吗？但是没关系，因为为什么？因为205破了的话，他除非一根拉过来，否则205能破250加。他妈这底下如果你要是kdj的话，你要是像现在压已经十了。因为这要真要是破的话，那么KDG已经勾就大幅值了，那也还好了。明白这意思吧？只是说短期的波动，因为你们成本大概是在这儿，你们成本大概是在212 213，对吧？那到205其实没有多少，没有多少，因为就怕他故意洗外面那帮人轩你知道吗？就怕他故意洗，或者咱今儿说完有8，你们一万多人，一万多人我在这。
	所以我说这个你不要把它当成一个单调，你只是把它叫配置。再说一遍，这叫配置别单调，别单调。为什么？因为很明显。起来下来起来下来，按道理来讲，明天应该起来。真的我觉得如果我要是做完，我明天应该起这根阳线都能对得上哥们儿，因为哥们儿画图，你看哥们儿完全这个画图，起来下起来下起来下，然后这横一下起来下，那么画画图的，对吧？而且低点在这儿，那天股价低点，然后这低点还他妈都能对得上。你看这画图但是并不一定越完美就越能赚钱，一定记住不是这样的。
	就是你千万你要，我只是给你们看张图，是告诉你们为什么选它，明白了吧？而不是说他妈一定能怎么样，明白意思吗？因为如果他要起来的话，现在在这个次高点的这样一个位置，前期次高点的位置MCD下来，你们按传统的，如果MMC再次金叉拐上去，如果他扑上去，然后后面红柱比前面这块要高的话，那他妈一把就上去了。但是咱就说你们你只要心里有数就行了，心里有有个数，这个图形很完美，就属于干错也要干，但是一定要设好止损。听没听没听到，听没听到，哥几个一定要设好止损。
	这个就相对一般，就这相对一般，智慧相对一般。但是我看到是他有游资比较喜欢玩的，以及他这个位置屁滚尿流，我操，你看261到57，屁管尿到39，屁滚尿流这位置。但是，所以这个你就你们按比例了，就这一般，这一般。然后你看1573，是不是也还行。所以这个咱们就说一下，只是简单说一下，你就是你知道原理就行了。但是这个最终还是要取决于主力怎么做，关了就关了让我关了是吧？关关关。
	关。
	但是这种图形有30%走错的，不有30%失败的概率。你们内心一定要有一个概念，我再说一遍，就一定要有概念。我咱们今天专门强调了那个。专门强调了择时，另外最终对冲组合跟风控对吧？择时就是现在你肯定不应该空仓，你至少要半仓。
	那量化对冲组合按照咱的策略是不是青蛙出来了，这么完美干错也要干，但是你干错的前提是你有风孔，你别把你自己扎里边，因为他一旦走成了上气不接下气怎么办呢？你这不好说，因为主力有被套在里边，经常有这种情况，所以原理你们知道了就行。就知我经常说知其然，知其所以然。但是你看咱们平时周末直播，咱就没法这么聊，对吧？咱就没法这么聊，我只能跟你说，你就这么记，就记就行了，就这意思。行，那个哥儿几个赶紧赶赶紧睡吧，明天上班了赶紧睡。
	还有有一些咱家的老哥们儿还在发这个SC，我简单念一下，但是咱们整体SN就周末了。还在做梦的胡子强说，我是欣欣前锋，本地人，家里也卖，我知道基本面完全没问题，小领域一家独大，最近卖的好是没错，就是这样踏踏实实的双叶幼稚园小孩说这个射手男跟比自己大的射手女相处需要注意什么？哥们你这是周末的话题，射手比自己大的石头女相什么？
	哥们儿非常飘忽不定，飘忽不定，尤其正常跟石头女，你是比较相对稳定，但是射手女实在飘忽不定，你就还是跟着射手女的节奏行吗？他比如说他想出去吃个cake，你就陪她出去吃个cake对吧？她想说来老公亲我一下，你就亲她一下，就这玩意儿你很难抓得住不羁放纵爱自由的射手女的。

（内容由AI生成）
