	哥们打在弹弹幕上，0到5分能给几分？
	今天的小小的瑕疵，就是我这个后台工具，我下回要换成OBS，这他妈有点难用，有点难用，导致中间节奏不是那么顺。来晚了没听到是吗？没关系，应该下播之后，应该有舰长回放的录屏。
	行了，反正咱们后面今天只是一个大概，就是跟大家简单的聊一下。就是说我过去这一年半跟你们聊的，我的策略的底层基础是什么？咱们后面就细化了。具体的我在想，反正因为我以前我在南京大学和财南南财政给他们培训了大量的东西。包括后来我公布那会儿给他们这个行业做培训的时候，就有好多这种案例。包括我也准备了很多东西，就像这种核心的策略，因为我这电脑就是换了很多，有时候找不到。
	我现在变大了吗？是不是跟孙悟空那个西游记那一下崩就变变大了，是吧？就像比如说我们当时这些，咱们以后都会都会讲到，像比如我一个策略会打好几张，为什么？就是在我的工位上，然后在在在那个那个工位的各个不同角度，不同的电脑前家里公司都会的。所以你们也最好做出做出自己的交易策略的图案，包括像这些，咱们以后都会讲到就具体的策略了。
	然后我看情况如果惊动了超管，咱们就多聊聊纸。如果要是没有的话，咱们还是尽量软件去聊，好不好？然后哥几个出去别宣，踏踏实实的。真的咱们费这么大劲，不就为了私域里边聊的更畅快一些吗？对吧？所以这个哥几个反正你们也都是花钱了，真金白银花的钱保全自己的保护自己的利益，行不行？
	然后像比如说这种策略特别多，这只是冰山一角。你就看就是没有这个市场里边有经验人赚赚没经验钱的地方，就是你都得付出努力。像比如这种都是一本儿一本，一个月就一本，就是各种案例一个月就一本。像比如这种一个月就一本，全都是就天天就得总结，就得琢磨。你要真喜欢这玩意儿，你就得琢磨，那这不就这就是就得琢磨，都是然后像这些全都是就每天得琢磨、得得整理、得总结。所以我就希望如果有些人你真要爱玩这个，就是你对大富翁感兴趣，那真的投入进来行不行？投入进来，稍等，我预告一下下礼拜我要聊什么。下礼拜开始，咱们就慢慢的细化了。
	下礼拜咱们聊这个，跟你讲这他妈值老钱了，为什么？因为一般你要是外面上上什么，等会儿我的。
	变小，好，就聊西罗尔女是吧？西螺女咱们周末聊，踏踏实实不影响。所以我说这玩意儿不用你们不用非要上线，这玩意儿太其实是不是有点枯燥是吧？有点无聊，我都不结巴了，你看是不是有点无聊。
	就是我跟你们说，我下边讲这个东西，这你妈你在外面听不到，为什么？这是理论结合实践，绝对牛逼。为什么不让你们录屏？就是这玩意儿他妈的确实是我的成果，就跟你们看到刚才那软件那根子线似的。这确实是我的这么多的心血。然后下边就讲的比较细了，你看非常细，就是逻辑结构示意大道至简，心无所住。
	就是我当时在研究金刚经，就是不断的去跟这相结合，就大周期涨跌节奏，小周期风控执行单子怎么处理。这个是我基于我们当时做期货之后，我一晚上同赚了2600万。这是我做期货的时候当时总结的。
	但是如果你要想在大A里边，想在想在大丰市场里边，如果说你想玩技术，就是你技术说你这是一个短板，说怎么着也得懂点。其实你还是看那本蓝色的，那本大蓝的就是股叫叫期货技术分析那本书，特别厚的那个，你去找那个找找那个大蓝本，你去看看完以后，你再结合我下礼拜要讲的这个东西，你就知道怎么回事了。一根K线怎么看假阴真阳、假阳真阴，或者一根什么上影线、下影线。为什么要把最低价定在那哪？比如我都给你讲的非常清楚，包括后面都讲的非常清楚。就是我把整个这个东西的原理我给你证明，你就知道一根儿K线的意义是什么了，你就知道为什么4分之3，然后为什么4分之3上面你要上面是假阴真阳，假阴真阴，那么结果是不一样的。
	为什么？因为这套东西是我结合我当年我们做黄河结合，我们做聚拢管业，我们做这个青青稞酒，然后我们做这些玉玉金刚石，我们在做这些票的时候，实际上我们就是用这套干散活。所以我说你们不要去录录录屏，咱这13000人你们应得的。因为咱们创造了一个互联网历史，对吧？所以真的你们应得的就是咱们一起保护好这个直播间。像还有一个就是然后我再强调一遍，就是咱们的这个直播是偏微观的，偏微观的就是具体操作层面了。
	为什么？是因为很多新手，你给他讲那么多，他他为什么做不到？是因为他不知道他这枝怎么形成的，是由无数个微观组成的。所以说我觉得这是很有必要。所以咱们既然要细化这个东西，咱们就从基础的开始讲，对吧？实际上非常基础了，这他妈是钛非常基础的东西，但是你在外面你是听不到的，怎么玩，我跟你讲的案例都特别清晰，然后这是一个。然后还有一个，你们不要为了听这个去上线，你们就出于喜欢我，你们上线就上了。
	但是因为为什么咱们试运行一个月，就是四次试运行一个月，是为什么？是因为我后面再跟B站去聊，我不希望你们花160多，什么130多，这太太多了，因为我也赚不到钱。你们知道84B站拿走了我84，然后交45%的税，出来以后40块钱，四十多块钱，然后我还79块钱买我们家拖鞋送给你，对吧？我的生活真不赚钱，所以咱们后面就换成一个，你们也能少花钱，同时我也可以不用送送，因为我没没脱节，我没脱鞋了。然后咱们这种形式同时还能保持最大的私域，可以像这么聊，对吧？什么叫公寓？没法这么聊，就直接他妈直接就给你屏幕就关了。所以就是我后面我会降低成本，我会跟B站去聊一个，然后给你们成本降下来，然后咱们同时还能保持一个这样的节奏。
	然后公寓就是聊宏观，然后聊蛋逼，聊大面上的事情，然后主要聊择时。咱们加餐主要就是聊比较细的，比较的微观的东西。行吧，然后再强调一下，刚才那个那个坤跟我说，我们库存拖鞋只有3000双了，不到3000双还是断码的。所以咱们今天是13000多人是吧？所以咱们公平一下行吗？你们也体谅一下，我们就按照顺序，我们后台拉单子，按照顺序从上次直播的那天开始算，截止到3000位朋友，我们还是把拖鞋送掉。至于说您后面如果说没拿到拖鞋，我相信您他是听我课。
	原比他妈就不是一双，那一百双一千双拖鞋的问题行吗？哥们儿，咱们商量下行吗？因为确实没有，因为我以前真的我们只是我们这只就说我直播开心吗？上个百880个店长，这拖鞋我就送了，反正我也不指着直播赚钱。咱是你说我你知道你知道我做投我我做投资的，然后我是卖鞋的对吧？
	但是确实没想到，这完全没想到13000多件，所以确实没有那么多钱。所以咱们就按照顺序，咱们就公屏上咱就按照顺序行吧，就按照那天周上周日晚上凌晨开始，然后这么一溜下来有没有？因为后面也不会再补货了，因为成本非常高。我们那些成本你要穿过去之后，我们不觉得不是外面那种非常简单。塑料鞋我们这材料成本非常高的，所以后面也不打算再补货了。
