	来干不干？
	好，把你们自己的答案记下来啊。然后你看，比如说今天要干的话，有有很多人问有很很多人问这个是收盘买还是第二天开盘买？要是B一的话，我一般是第二天开盘买，因为前天晚上好好复盘，因为它在连续下跌的时候，除非是什么重大的一个什么消息让它跳空高开，否则的话连续下跌的时候，第二天应该还是顺势平开或者低开的。所以不用着急，当天尾盘卖，不用着急。但是未来咱们会教到特扑的时候，玩特扑战法的时候，暴力K线战法的时候，那个是有时候是要收盘买的，因为第二天容易高开。
	你们都不干是吗？不干是吧？好啊，你们说不干是吧？走第二天没有。
	破低点。
	对吧？第三天。
	来了。
	对吧。如果做反弹的话，这根儿是百分之这百分之多少？5.56%，这个是0.74%，加上6%了。做反弹的话，这两天减仓一半没有问题，因为站上BBI要下BBI2天，然后走百分之多少？这是5.61%，你现在是半仓，你注意你现在是半仓。
	走特扑了，特扑了，然后走哎呦呦走出这样的走势，放量要是我的话，那半苍也全卖了，那半苍已经卖卖完之后，后面再涨再跌。跟你没有关系了，跟你没有关系了，你就可以等你就可以等。但是如果要是碗大的话，比如说像咱们拿着米那种碗大的话，因为已经半仓了，又有很大的浮盈，你的成本在这儿6.8块，现在是8.13块，而你那他妈成本就卖才三块。不着急，你卖也可以，算了，你卖完全没问题。要是我就看这个白线，白线不拐头就不动，走又下来了，我操白线又又上去了，看白线上上呦，我操上上。注意这天白线往下拐，同时他妈下来了，破白线了，第二天很重要了，又破了走也就这一波。实际上如果要是完整的话，是你的半仓是在这块是可以的。两根K线跌下来，后面再怎么着去也跟你没关系了。
	只是说你要是少妇站到纯少妇，如果你要敏感的话，你其实任何上涨点你都卖都可以，你不可能没有一个完美的交易，所以说这就是刚才你们看说不买的，不买的是为什么不买，以及买为什么买？要是我的话，这辈子是会搏一把的。就是我我我我不是事后诸葛，咱只是说因为这是当年我们做的票，这是当年我在试通的时候我们玩的票。就这辈子是要这这辈子是怎么？我就是是我是是我朋友洗出来的那是我是我朋友画出来的图形好不好？
	为什么？是在于你看它连续底部不断抬高，当第一个破掉第一个的时候，记住上涨转转下跌，或者是下跌转转上涨，往往都会先至少他妈的转震荡，一定要记住这一点，至少先转震荡。他妈直着上去，直着下来，极少的情况说，如果你真赶上了，那他妈就赶上了。赶上的话你输一根，你止损出来，懂不懂？就是等于这张图来讲的话，你一一连续他妈阴线这块是没有量的，对不对？然后另外就算有有量也无所谓，就是说先就有量关系没有那么大，咱后面再说了，这是没有量的。外加这个其实上涨趋势没有破坏，这波完整的上涨趋势被破坏的话，那就直接这个点就破掉了，4.84块就破掉了。所以在这块来讲，你还是上涨趋势，实际上还是上涨趋势。
	那上涨趋势里面的回调，特别是连续两个鼻翼，这儿一个鼻翼，这儿一个B一双鼻翼，实际上这位置是一个非常好的图形，为什么？因为你的盈亏比非常高，你就输这一根儿。比如说今天咱们看这个就这一根儿，就比如当时青花，就这一根儿，他妈干了就干了，对吧？要不大不了就完全转下跌了，你把平出来就行了。所以记住这肯定他妈的这个趋势还没有没有最后最终终结，没有终结，这是第一个图形。给大家看第二个案例。
