	来测试一下声音行吗？画面来了声音行吗？
	声音正常吗？有回声吗？然后可以听到背景音乐吗？
	有背景音乐吗？
	完全不用调是吧，这次没问题是吧，没有音乐。那合合着我自己听音乐，是吧，我看看。Thank me for day. 
	我这儿有音乐了，大家听听我声音有吗？我这儿有音乐，应该听声音OK好，我把我这声音调小点。OK好，我把我这声音调小点，现在可以听到背景音乐对吧？有点回声是我我这块儿的我这块儿的反声有了是吧？别着急，咱们测试一下，我把这数值记一下。咱们测试一下，这我把这数值记一下20 20挺好OK。
	人生100OK可以了，我觉得挺好，我觉得声我这听着声效还可以。OK可以了，我觉得挺好。我这声我这儿听着声效，咱家主要是蛋逼直播间，所以这个声音得整明白。OK no part吧？可以，挺好。
	来哥几个，hello，哥几个，大家端午安康。我为什么这回整个端午前，紧急的制定了一套端午特训。因为我觉得现在的时间是很很重要很关键的。反正一年365天，那么多节日，你少过一个就少过一个，一年365。但是你提前掌握了技能，没准就会在后面这个六月份、七月份，没准就会有一些帮助。
	我听听这个现在是什么音乐。欧冠看好谁？国米。但是实话实说，大巴黎这么多年投入这么多年了，拿一个就拿了。但是实话实说，大巴黎这是right，这么多年了，拿一个就拿。这是我听见声音，我听听我的耳返，有回声是吗？轻微回声是吗？不至于，有回声吗？
	有回声是吗？没有回事，对吧？没有我这听的没有，我这听的没有。
	怎么样？哥几个现在都在哪儿？在家，还是在学校，还是在公司，还是在老家，在哪？都。还是在老家，在哪？都。在家里，声音挺好的OK好，那行，咱就不在这浪费时间。在宿舍，在丈母娘家可以，在大哥心里，在茅房，在乡下，在南京子枫，吹牛逼，哥们儿子枫都关了。在这个直播间，排队饭店吃饭。
	磊哥失恋了，求安慰。这好事儿。哥们儿你这多好啊，从此你就开始自由了，旧的不去，新的不来，踏踏实实，我好好就跟你一块住，旧的不去，新的不来。
	在牛角村，等接盘坐小板凳前听课。行，咱别着急，咱先等等着。回头有很多朋友说错过了直播，别着急，咱们先唠会儿。课表大家都看到了是吧？课表惊蛰会，这谁来了一个粽子？我这看看看不见，这谁来粽子？ZERA two, 感谢。
	就是我从我站在我的角度来讲，为什么端午节要把你们召集起来？说咱要来一个特训营，就在于越是在别人玩的时候，越是在别人什么有耳机漏音或手机的声音没有，哪有啊，刚才咱们不是说没问题吗？确实有有回声比较小，什么意思？那这样。
	现在这样行吗？声音没问题是吧？有小小回声，咱们连小小的回声都不要，现在应该好了吧，我索性我。我操这哪的声音。
	等会儿，我我怎么我能听到我的声音？我怎么在电脑能放出我的声音来？等会儿。
	豆豆。我看看。
	扬声器我没扬声器，我这音量是关的，不监听，声音输出导流。
	有点意思，等会儿，这是怎么回事呢？刚才我到底又摁哪了呢？哎吆吆一八，这就是真实。为什么我能听到我自己的说话的声音呢？这根线接他，这没问题，这他妈。
	我没在录像，我没有监听，就不监听了吗？到我我听我声音倒还是挺清楚的，可是为什么他说，操。我的电脑打着我直播间，OKOK没问题，现在行了，现在好了吧，现在是不是没问题了？
	现在是不是行了？现在。我这后面开着我直播间，我说我操，抬了抬了OK，抬了，我得给我自己来点music，要不然没有灵魂。等会儿，咱们先磨蹭会儿，别着急，天不长夜长。
	哎。
	有录播，我这儿打着开着录播，我这打着本地录制。然后那个是这样，关于上传咱们这个就之前大航海的直播，然后那边功能还没有特别健全，所以选择充电这边。一方面价格可以咱自己定，所以就非常便宜。另外是可以它这个功能比较完善，有会员专属动态，然后有会员专属回放。所以咱们这场直播完了我都试一试。但是充电那边小伙伴也跟我说了，因为那什么的问题，所以说不知道那边能不能过审就放出来，不知道不知道能不能过去。别着急，我我这已经在想想我这已经在想办法了，一切都在流程当中，所以别担心。
	然后同时同时咱们这几天的那课程表，你们也看见了对吧？这个课程表实际上我这个安排的是什么？安排的是围着讲少妇战法。咱家的少妇战法是打打马，扎马步，基本功，那十张图没问题，别着急，就是有基本功，先把基本功打好，后面才能说你嫁接到什么玩法。所以说咱们这个特训营的第一晚，也就是今天晚上，主要是少妇战法复习和曼城主力替补阵容的详细复盘。就是等于说把之前的咱们过去几个月积累下来的所有问题，咱们今天都争取给它解决掉。然后包括一会儿咱们聊完之后，有大量的答疑的时间，咱们多多互动，这也是咱们直播的一个优势。然后第二天就是明天好好讲讲这怎么复盘。
	因为很多朋友给我后台发私信，就是说想让我聊聊这个，你说老复盘怎么怎么复？咱们明天就好好聊一聊，看看时间，时间如果还剩的还可以的话，咱们就把这个单针下实给讲了。因为单针下实非常适合这个阶段，单针下20就属于是配合一个主力洗盘到位之后的一个再往上的突进的那个拐点。然后是一个超短期策略，就特别适合现在的行情，就是爆发减仓的行情。然后包括一会儿咱们看看，明天看看为什么发发仔来那根，或者为什么为什么赛赛来那一根。
	然后第三天第三天实际上是分两块，一块儿是咱们继续以真实的案例，讲讲这个主力与散户如何博弈。也就是说把以前我的朋友当时做的一些票，给大家当一个案例，然后来分析一下。咱们可以看图说话，然后后面时间也留一部分时间，然后咱们去到大直播大直播，因为咱们也得照顾更多的人。然后现在别着急，我去我我去拿个音箱。
	这挺好玩的，BNO跟鸟的联名。
	然后七上我的四宝茶。
	连上了OK，没有音乐没灵魂。
	哎。就是你放心，咱们每期的这个以前叫舰长课，现在叫叫这充电会员的课，都有这个回放。但是你等我这边把所有的资质跑完，咱就能够上传了。所以别担心，所以尽量在这个期间，大家还是能够现场来来听直播，咱还是都是直播比较好啊。
	能听到音乐吗？咱们测试一下以后，我这个装置弄好，这三天我就不变了。
	15.7年。可以是吧？声音小音乐声音小，那不正常吗？咱主要听我干逼声音是来点调调就可以了。我还是再次的跟你们强调，你们钱也花了，所以这三天一定要能来听的都来听，然后同时尽量还是咱们保持一个直播的一个效果。情歌我们。唱到就在对于我来讲，就是我我说了，就是我还不够男性，我求名，没想到这么多人捧场，他妈的这么多人捧场，我肯定得我就得玩命讲，知无不言，言无不尽。
	梦中的紫霞，Z哥端午安康，Z子们端午安康。对，咱们这三天，咱们的特训营立个规矩，从我说正式开始之后，咱就不再发SC了。等我都讲完了以后，我统一说咱们有比如留一小时答疑时间，然后咱再发跟今天聊的内容有关的SC好不好？咱们把这三天的集训营，咱们定好这个规则，否则的话您花钱花花了。SC咱们又没有时间念到，或者跟今天主题不符，您也亏对吧？然后同时咱们也为了保证大家能够聚精会神的这几个小时能够更加专注，所以咱们就说比如说一会儿我说好了，咱们从现在开始正式开讲了，咱们就不再发SC了。
	咱们讲完之后，说好，现在开始咱们答疑。答疑还是以弹幕为主，你们不用再额外花花这个钱了。咱们又说了，咱们开会员好大，现场直播也好，是为了能够进到咱们的一个相对私欲的状态。
	所以你们别到到到时候我说答疑，咱们也是先紧着弹幕。我看弹幕大家问的比较多的，咱们来集中的互动。如果没有大家说您愿意发ISC，愿意问一下，那咱就SC好吧？咱们就咱们定下这三天的规矩。高桥河西，段安康趁着弹幕第一来露个脸，第一排坐好听讲。对，昨天转播球的时候，然后有俩哥们儿的醒目员忘了，就是这个滑稽0，他说ZJB今天得到Z哥回复关于舰长和充电的问题很开心，影业没吃上，但没追求个安慰指导OK。
	然后还有11-331说Z真B锦群老群友从初中看到创业可以，哥们儿，初中那你全职义务教育下来以后就去创业了是吗？还是高中毕业，还是高中毕业？现在每天不看Z哥都出不了货。哥们儿。你这发错了，你他妈该给三上优亜发，你发我这干嘛？你加错进错群了，兄弟。这个赤焰轻松来了。好，来看了，你是替你是把把不不不落。
	Z哥端午安康好，三万又有三十多。Z哥以前是从不迟到，现在变成偷跑了。操这么这迟到跟我就跟我没有任何的关系好吗？然后六神马6说这个ZGNB小板凳准备好了，好好学习天天向上。好。然后我住在海边，我喜欢浪说ZGNB5月收官，市场还是好歹给了点感恩一路有您，祝Z哥和Z家兄弟们端午安康。好，谢谢XN system说这个端午快乐。好，我与共和国同在。
