	特别的像。
	就是在这个阶段，就是当时大盘量在这个阶段，它是属于横着的所以你踏空，你踏茅坑。哥们什么情况？你怎么踏空了？哥们儿就这种情，这么这样的，你踏踏什么空了，踏踏实实的行吗？你踏什么空了？你看现在就是在大盘在一个区间，比如上面区间是2228，下面是1978，也就是就在这个200点之间。你当然知道大盘下去就会起来，下盘下下午下午下午就起，就会知道在一个区间之内在震荡的时候，这个时候一般是小票动。
	为什么？因为在这个阶段市场的流动性增量资金没有那么多，但是流动性又还行。所以现在就非常像这个，非常像这个这段期间就是在20，当时你看一波下来，有点像咱们之前的那个关税的贸易战，所以在这位置八横住了，在这位置横住，所以当时很多小票都先动，然后也用句其他话，就什么轻大盘重个股。
	但是我觉得不能这么说，因为现阶段大盘很重要，为什么？因为大盘现在被某对高控之后，他如果说不高兴，那所有票是跟着他不高兴。所以还不能说是轻大盘重个股，只能说是通过少妇战马，你看就一个小波段，一个小波段小波段对吧？小波段你不能每个都很完美，但是你把它掐头去尾之后一拉平，你相当于能做一个完整的波段，也就是热身，可以理解为热身赛。所以我觉得现在是非常像这样一个阶段。
	所以最近为什么你看无论是创新药，还是这个股子经济，还是这个小金属。小金属主要是稀土，然后包括还有一些军工，然后还有一些可控核聚变，他们就全是小票，你去看都是小票。在这个位置，他们不断的会完成，麒麟会在这个位置来工作，所以说什么就是说放弃向上幻想，专注挖坑和填坑。
	所以就有咱家千万不要去抱怨说指数为什么不涨，为什么就是3400上不去？跟你讲3400上去了反而麻烦。就是我再说一遍，就是他妈的你从3400到4000了很快。比如一个礼拜说真的要涨了，一个礼拜你不在曼城阵容里边，你不在村委会，你在小小票，我跟你讲，你就会觉得我操踏空，那叫真踏空，你知道吗？而且一下到4000点了，反而麻烦了，我不知道各位能不能明白这意思。就比如说米儿真到三倍了，直接从59 8回撤到36，当时吓死多少人，那就真的很麻烦了。你他妈赚钱效应大家就会觉得贵，到时候不是百岁山觉得贵了，就我他妈也觉得贵，明白吧？对，估值高了。
	所以说A股最好的就是什么？就是大盘你别跌。然后同时每天这个中小创能够看看妈的扒拉能不能有没有有没有出坑，能不能填坑，有没有出坑，能不能填坑？每天就做这个非常简单的动作就完了。
	这儿你先热完身之后，后面说像当年1664到3478，或者是2 1800 1900到5178，说你他妈那会儿再说那会儿的，就是你先这会儿先把先攒点碎银子。因为对于A股来讲，十年都是这样的行情，都是在捡碎银的，真正的那种一波流的非常流畅，就半年到一年，不觉得会到，我他妈还觉得到9000，哥们儿，我还觉得12000，他俩是以后一定会到12000，但是我说了，就是我就是咱们不要高谈阔论行吗？就是我说你要外面听我大直播，咱们每周末大直播非常简单，拿去不动。未来肯定6000点，肯定6 6000点，大傻子都知道，对吧？中华人民共和国茁壮成长与未来成为世界第一大经济体。
	肯定上半年，但是架不住你们了，天天一惊一乍，完了再给我踏空了。我操大盘涨了，怎么这几个点涨了17.5就涨了0.52，这个我踏空了对吧？你他妈这你他妈你他妈0.25%你就踏空了，你这跟我谈什么呢？谈什么14600，谈什么6000点，是吗？哥们儿你别他妈爱在什么深秋，你就爱在当下行吗？哥们儿踏踏实实的对吧？
	就相当于我我我这我我每个礼拜有大直播，我都在说我拿去不动，我拿去不动，所以车轱辘哥不就来了吗？他说车轱辘话来回说了，对不对？然后要不然你就说这个你体量大，你能拿就不动，我就十万，我就20万，我就30万，我怎么能往上走走。
	所以我才给你们讲，他妈的就是我当年我从底下从0到1的这个过程是怎么玩的？我不才给你们分享这个东西的吗？对吧？哥们儿这对我不，所以我刚才我白讲，我刚才我刚说的是，我先给你们讲一段，大家当一个铺垫，你们先有个概念，白说是吧？太难了，白说。白白说，行，咱们接着来。
	首先第一点要放弃向上幻想，专注挖坑和填坑。这就是说明你们体量不是特别大，需要跟那边什么折腾和弄和弄然后赶紧完成原始积累的，叫放弃香肠款，专注挖坑和填坑就可以了。比如说我碗大我他妈填大坑，你就看我队长，我那是大坑，对不对？我抬的我那也是大坑，我拧了那坑更大，103到11，他妈从11回到40，这帮坑是不是更大对吧？所以但是你我我每个我我拿去不动你不行。第一波红利跌1.6，Z哥完了暴跌股灾，我操你他妈没法闹了，对吧？所以哥们儿你刚才说那话，你再沉淀行不行？
