	Hello哥几个。声音行吗？声音。
	声音行吗？
	有回音吗？
	声音可以是吧？非常清楚完美。好啊。
	我这个风尘仆仆，一道银色的闪电，驱车45公里，一路堵回来。你们知道我又去哪儿了吗？
	什么西楼，我操，别闹了，踏踏实实的风尘仆，我操，北京太堵了，北京太堵了。马蒂斯雅虎上舰，感谢，北京太堵了，工体昨天去工体，今天不是。
	就是我一直觉得上礼拜的那个pop land，就那几样不够力度。所以我今天得到message，然后去了趟西单大悦城。今天泡泡的这个什么看不到我补货。哥们冲了一会给大家抽了啊。
	就是这个。这叫什么？哪去了？就这一对叫什么？叫叫almost the monsters，什么hidden，就是什么什么看看不见，我就是我就是专门杀过去了。因为我琢磨了一下，这拆出来是几个？这几个。拆出来12个，这样中奖人就可以多一些。我拆出12个，这就多了一些。
	再配合上礼拜的那大抱枕，大抱枕现在已经五百多了，就是那个pop land已经被抢光了。然后那个就pop烂的什么都没了，pop烂的就那个包，那那包已经400了。中国真牛。
	真的也不要。
	怪黄牛，因为黄牛不可能亏钱，一定是巨大的市场需求，一市场需求，所以这哥们儿这行吗？这行不行？我跟你讲这个现在还没启动，整体上没有启动。你再过两个礼拜，以咱们经历过炒鞋这一波，咱们绝对不要追IPU首发就拿它市场价，这不就拿他的那个官方售价，所以这还没有完全启动，这个哥们儿这叫我不知道什么什么，就是almost the monsters hidden。店员说叫什么，看看不见我系列，一会儿咱们给它拆了，不，我只留给你们拆，就是我把这个弄下来12个，一会儿咱们就发那个专属抽奖动态。
	所以一路堵回来。
	看不见我这不是说这个女粉吗？
	稍等稍等，我拾掇一下，咱们还是九点开正式开始，我刚刚回来，稍等稍等，我这个茶还没吃上。Z哥毕格蒂克，Z哥晚上好，新人混个脸熟。你是中文版的，咱们家有一个老粉是英文版的big dig，豆豆保姆上见，感谢。还有这个求Z哥同款内裤，说Z哥晚上好，今天第一名已搬好小板凳，前排混个眼熟。好。你你哪你哪你哪你哪抢哪部分，你哪抢的？就你们跑的比谁都快，真的我这都不知道哪抢。
	3.03.0我看今天排我前面的一大大姐在现场取货，说是昨天晚上补的货。我都不知道，但是知道也没用，就跟咱们当年抢鞋似的，知道也抢不到。我当年还写code去抢鞋。
	伊朗大动作，嗯，无所谓，没意义。哥们儿，不用不用关心人。伊朗。今天有一些重要的情况，一会儿向各位做汇报。
	今天的主题先说说今天的主题有三块。第一块是这个创新药的五大方向，咱们稍微细讲一下，这样的话你们就知道到底是什么思路。然后第二个是讲一下，相当于还是带着大家一起咱们复盘前两周的一些操作。然后第三部分就是我把一些我觉得重要的知识点给你们再打打几个补丁。然后今天还是我觉得还是很重要的，其实每堂课都很重要。
	现在声音行，什么叫真熄火了？哥们儿西什么火，别老自己吓唬自己，踏踏实实的。
	我不是瘦了，是他妈头发长出来了。兄弟，我不是瘦了，头发长出来了。不之前前三个礼拜头发里熄火了吗？用了一个新的发型师，所以你看就知道头发大了以后跟蘑菇一样。你看这个蘑菇他就会会会把脸显得瘦一点。
	就是哥们儿这颜值主要靠发型的衬托。这个福州小鳄鱼说Z哥美top 30双硕士毕业只想做大富翁，是去找业内工作，还是在在Z家军踏踏实实？哥们儿，你肯定是要想要想好好做的话，去做科班，你肯定是要进到专业的机构，而且你的学历别浪费了。但是说实话，现在最近我觉得金融圈还是不太好进的，有点卡是吗？退出去重新进，因为我这儿也监控我，我这边我一个手机，一个pad都在监控，我这还是挺流畅的。
	我现在已经都没敢用什么什么超高画质了，我这都都是都是非常低调的画质了，都30帧4兆的码率。瓦贝不卡是吧？米粉米儿卡不卡？来，然后那个。等会我再确认一下，我再确认一下到底这个声音行不行。稍等，我再确认一下。因为咱们主要就是蛋逼直播间，如果声音不行的话就熄火。
	1 2 3 4 5 6 7 8 9 10B直播间，如果声音不行的话，真好，这声音可以，可以，我知道了。因为你们看我这个就是白了，不就是是吧，不就白了吗？这个摄像头是36 instar 360新出的什么电脑端的摄像头，他的默认就这样了，默认就这样，都不用调。一白遮百丑是吧？4090不卡。行，行OK对，就是白了。不过今儿穿的有点白，所以一下一下就他妈就就就它它自动白平衡，你知道吗？
	哟，现在已经9.02了，时间过得好快，这就9.02了。
	别着急，我把茶沏一下。
	我本是我。
	没搞高画质，现在已经是中等画质了。
	那又能别着急。
	哥几个，今天上人可以，1.5万了，非常好啊。所以咱们今天这个会讲的比较的密。
	太难听了是吧？就是在搞投资，搞投机，这个事情要打开格局，怀着开放的心态，能够接纳各种信息，能够接纳各种information，这不泡泡就接纳完了吗？对吧我。
	等会我把茶先踢了。
	要包容。要包容。兄弟。
	不是这歌，是背后有什么故事吗？就是这个。这是这这歌是有什么故事吗？
	怎么了？我看这个。
