	好了，哥几个。声音行吗？声音。
	声音行吗？
	刚看完国安的球。所以心情还可以。
	声音小吗？声音测试下声音。测试声音可以吗？
	声音行是吧？OK, hello, 哥儿几个，今天怎么样，今天怎么样？是充电直播吗？应该是吧，你们看一下是充电直播吗？今天是充电直播吗？你们看一下。鼠标给你，又开始抢我鼠标是吧，又他妈开始抢我鼠标。
	怎么样？
	我我又老了是吗？我又老了，然后我今儿又没鼠标了是吗？
	我们之间并不是您以为的那独自升级的K说ZJB请问单针现实可否在当日尾盘微回入场券？次日涨幅不符预期，尾盘拍掉。可以，你要是提前选好的话，你可以也可以没有问题。尾盘V回是吧？你看尾盘都V回来了，V到100了，那可以。
	格力南这个鼠标藏好了吗？哥几个要抢了，哥们给你们行吗？我又不是第十次被你们抢鼠标了，谁要鼠标给你们，我就奇怪了，炽焰熊风来了。好，夸夸一顿杵，还有Z就踏踏实实上剑，感谢。蓝莓牛乳史莱姆说198.39%，让让我给这个什么多发套鼠标跟键盘，师尊多讲点，大家伙儿爱听爱学。
	十三颗炮桐说Z军B周末漏了我的SC请问Z哥达链能看到就高吗？令果链的周期还有多久能硬起来？感谢这个回复，果链的周期已经反弹了有一个多月了。你你你你就看你就看这个打的，达子的话在前高的位置横盘，只有鞑子创新高，国内的这波国，国内的这波百岁山才能往上做前高。就是你不要提前预判，然后打料这不他妈应用一个月了。哥们儿你看看光通讯，这不都用一个月了吗？
	3K大作手回忆录，我已经没救了，今天忍不住追券商了。然后抹茶不加奶，说这是看球您受累，要不先去吃个茶休息一下。没有我今天一边看球一边吃着饭，今晚鼠标劳烦交给我，我操，原来下饭就在这儿摸一个取一个Z哥的移动鼠标，今天都在说鼠标的输输三彩，Z哥帅，请问Z哥横盘震荡obv指标可以识别主力出还是洗盘不行，因为你看所有的票obv都是永远向上的那它没没有没有什么价值。切夫蜂鸟说，上周五大盘和证券又第一了，立马买了师傅说的固态和机器人，感谢您手把手教捡钱，感恩。
	好然后亨利二说之前留过言，现在西楼留不了了，请问怎么办？什么意思？仅此的欢乐说打卡上课不能缺席，感谢Z哥每周的课。
	然后KK two说，Z哥你好，请问游戏板块怎么看？有前景吗？咱们一会儿说，然后苦苦处别发IC咱们今儿不发IIC，咱今儿开的晚，直接就开聊。哥晚上好，最近看直播补录播，越发感觉自己还有待提高。感谢这个物资分享，哄一点说好彼时此刻生人，Z哥终于轮到我赚钱了，感谢Z哥分享。我现在搬好小板凳踏踏实实听，好好查漏补缺。
	然后陈守鹤说雷哥牛逼，最近少妇战马B一选出来买啥跌啥，不买就涨。B一选出来之后，第二天开盘要怎么确认？咱们一会儿说，一会儿我这儿整理了很多问题，咱们一会儿说。
	然后哥德华z jme，今天这么晚是去西楼藏鼠标了吗？没有看国篮球，今儿中超，国打这个梅州独爱轻松不摸花儿落。醉哥，今天我生日，可以祝我生日快乐吗？也祝这次们天天涨停。好，来哥几个抬抬手给他发一生日快乐，给他刷一波。
	早睡不吃鱼嘴哥晚上好，想听你唱一遍，太阳出来我爬山坡，咱们一会儿拿案例讲。行，咱们今天长话短说，因为我刚看完国篮球，今天又是周中。咱们今天你们不要发SC，今天别发，谁先等，让我把正事讲完。
	我现在有一件事比较好奇，就是你们要抢我鼠标，就是我就不明白一点了，就是哥们儿一直满仓拿去不动，曼城涨有有曼城在涨，曼城不涨的话，创新药、可控核聚变、中国新消费这些在在涨。我我我为什么要给你鼠标呢？哥们儿我不太理解，哥们儿一直满仓拿住不动，然后我上个礼拜跟你们说，我净之在创了新高，我说高铁不知道什么时候开，我就不下了，对吧？所以我不明白为什么你们抢我鼠标，这确实我百思而不得其解，其解不是其姐夫，所以我就非常的好奇。然后我本来说不给你们看静止曲线了，但是你们这个一而再再而三的抢我鼠标，我给你们看一下，你们说我把它低调闷声发大财，对不对？然后那你们要抢我鼠标，那不行，鼠标不能给。那什么头可断，血可流，鼠标不可给，好不好？
	给你们看看我的静止曲线，我操来我操。大家创新高看了吗？创新高，看到了吗？创新高，为什么呢？是因为这个就是曼城长，就是拉大票，咱有有曼城阵容拉小票，咱这礼拜我这都单独给你们晒了可控核聚变创新药娜娜对吧？
	然后这礼拜周一到周三的，周一周二的创新药新消费有什么问题吗？哥们儿固态对吗？所以我不理解你们为什么抢我鼠标，踏踏实实的坐坐着听好不好？尤其新来的搬袋儿，搬一袋坐坐那儿，至少目前现阶段，你你你没有资格在我面前发话，好不好？摆正心态，摆正心态。咱们今天很重要，今天很重要。呃。
	今天可能今天我本来讲的是什么？我本来想我今天标题是周一写好的，周一写的是这个坑里起好货。因为我感觉差不多了，咱们上周的锦囊说了三点，对吧？
	第一点是说的这个是六月份，整体也就就这样，大家踏踏实实的安然度过。第二点说的不，第一点说的是伊朗跟以色列踏踏实实跟咱没关系啊不要一惊一乍的，你看是不是盘面没关系，对吧？第二点说的是六月还是按照之前的逻辑不变，那没有什么问题。我现在依然是这个观点，因为什么？就是大盘今天比如大盘不就涨了1%吗？哥们儿见过世面吗？就他妈1%而已，1%，这他妈这见过世面吗？
	第三个我说的什么？我说我的咱们曼城要调整了，我说我调到哪儿？我说我调的创新药，调的这个新消费。然后第三个我说的什么security，对吧？就说的不能再明确了，你们去看一眼好吗？但是我没敢宣我没敢宣对。
	Seq查一下，不是insurance什么不是就是他的，而且保险连涨三天，保险我是不是上周说了，还被一哥们儿喷了是吧？说我不懂保险，说你别说话，你别你又不懂你别扯淡了，是不是？哥们儿这波是不是保险加我上周他妈加仓的券商有问题吗？哥们儿security再去看一下好吗？加强一下英文好不好？所以说我不明白为什么要抢我鼠标。但是咱们不开玩笑了，咱们说回来，咱们咱们说回来，我觉得今天今天周三那123那个大盘三天阳线，我觉得特别好啊。我想了解的是咱们一起弹幕，来来来，咱来一下，有谁觉得自己踏空了，来打出来，就把踏空了三个字打出来，打出来。
	我看看有多少人踏空了。
	OK, 好啊，来，然后我再问一下，有多少人是满仓，打一个满仓两个字。
	OK, 好啊，有多少人是半仓来打出来，有多少人半仓？
	行，基本上从弹幕里面看不出来到底有多少人满仓，多少人空仓，多少人半仓，对吧？好啊，咱们说满仓的那可能就是你一直听下来说，这一一直满仓，一直热泪盈眶是吧？满仓拿去不动，半仓的属于听话的对吧？我说就你就半仓轮，这个如果上去了，因为不知道高铁什么时候发车，对吧？所以满仓半仓的你就弄，你他妈的不要下高铁抽烟，对吧？而且半仓也是咱们一直锦囊一直说的是半仓，半仓进可攻退可守，对吧？
